key,quantity,value,unit,derived_from,note
D_t_out_r1.5_h,r=1.5 cm 被收缩越过的时刻,3.6414209416985734,h,附件2 R(t) / 推导,
D_t_out_r1.5_s,r=1.5 cm 被收缩越过的时刻,13109.115390114865,s,附件2 R(t) / 推导,
D_t_out_r2.0_h,r=2.0 cm 被收缩越过的时刻,0.0,h,附件2 R(t) / 推导,
D_t_out_r2.0_s,r=2.0 cm 被收缩越过的时刻,0.0,s,附件2 R(t) / 推导,
D_boost_end_fig,图 3(b) 末段几何增强因子标注值,2.7870602367328963,1,FIG_boost_end / 推导,
D_rtol_span_fig,图 5(b) 时间容限极差标注值,0.1098000000056345,s,FIG_V2_span / 推导,
D_G1_hm_x0p5,h_m 减半的 t_dry 增量,3.3103240869588544,h,G1_hm_x0.5 - PROD_tdry,sensitivity
D_G1_hm_x1000,h_m 增至 1000 倍的 t_dry 变化,-1.4059331317464239,h,G1_hm_x1000 - PROD_tdry,sensitivity
D_G2_EA_M10pct,活化能 -10% 的 t_dry 变化,-30.710695538189675,h,G2_EA_-10% - PROD_tdry,sensitivity
D_G2_kD_P10pct,扩散指数 kD +10% 的 t_dry 变化,8.277594924864372,h,G2_kD_+10% - PROD_tdry,sensitivity
D_G4_R_x1p1,半径幅值 +10% 的 t_dry 变化,9.696477298830755,h,G4_R_x1.1 - PROD_tdry,sensitivity
D_G5_eta_p1,收缩模式 eta=+1 的 t_dry,-26.73665623142816,h,G5_eta_p1 - PROD_tdry,sensitivity
D_MC5_mean,蒙特卡洛 ±5% 均值,54.98517503867621,h,MC5_mean / 推导,
D_MC5_median,蒙特卡洛 ±5% 中位数,50.62936065065943,h,MC5_median / 推导,
D_MC5_std,蒙特卡洛 ±5% 标准差,17.039133603634077,h,MC5_std / 推导,
D_MC5_p2p5,蒙特卡洛 ±5% 2.5% 分位,32.36034082278592,h,MC5_p2p5 / 推导,
D_MC5_p97p5,蒙特卡洛 ±5% 97.5% 分位,87.45902577872883,h,MC5_p97p5 / 推导,
D_MC10_mean,蒙特卡洛 ±10% 均值,65.7873406272603,h,MC10_mean / 推导,
D_MC10_median,蒙特卡洛 ±10% 中位数,50.185646143653855,h,MC10_median / 推导,
D_MC10_std,蒙特卡洛 ±10% 标准差,40.686389390686934,h,MC10_std / 推导,
D_MC10_p2p5,蒙特卡洛 ±10% 2.5% 分位,21.796244868182523,h,MC10_p2p5 / 推导,
D_MC10_p97p5,蒙特卡洛 ±10% 97.5% 分位,153.6787601242657,h,MC10_p97p5 / 推导,
D_compat_Cb_72h_rho1300,rho_d=1300 时体积可加关系在 72 h 给出的 Cbar,0.42171254999999985,kg/kg,compat_Cb_rho1300_72h / 推导,
D_compat_ratio_72h,上述 Cbar 与阈值 0.15 之比,2.811416999999999,1,compat_Cb_rho1300_72h / C*,
D_compat_kappa_ratio,反解 kappa 的首末比值,4.78297792369931,1,compat_kappa_ratio / 推导,
D_compat_rC0_900,rho_d=900 时隐含 C=0 的半径,1.1017604050639236,cm,compat_rC0_k1.111 / 推导,
D_compat_rC0_1500,rho_d=1500 时隐含 C=0 的半径,0.910683320050781,cm,compat_rC0_k0.667 / 推导,
