experiment,sample,T_center_1800s_K,T_surface_1800s_K,C_surface_1800s_kgkg,C_avg_1800s_kgkg
E3_noise,32,306.7569729066176,309.9780618338238,1.5102591507669942,2.293554748712588
E3_noise,33,306.72004276200596,309.9526759691089,1.5102490590683513,2.293553943013404
E3_noise,34,306.727602669088,309.948270744947,1.5102603559529477,2.2935547288521128
E3_noise,35,306.6855418422699,309.9147390681644,1.5102753507234494,2.293559494801387
E3_noise,36,306.69653878263017,309.9415191561072,1.5102427335734767,2.293555538706937
E3_noise,37,306.7207632166631,309.9635144632828,1.5102665822171004,2.293557062500408
E3_noise,38,306.7142621967847,309.86219507227304,1.510274891524591,2.293555325299966
E3_noise,39,306.71889536812427,309.9695767907245,1.5102632542658605,2.2935560838442846
E3_noise,40,306.7240008853883,309.94540408703006,1.5102771525561296,2.29356016127513
E3_noise,41,306.7078988692939,309.931081934953,1.5102722045094794,2.2935560525882117
E3_noise,42,306.69885498462946,309.9443666993655,1.5102971709474673,2.293561122220944
E3_noise,43,306.7630193684033,309.97092087619484,1.5102754513883685,2.2935588246376746
E3_noise,44,306.707654954319,309.9705515969717,1.510267178876298,2.2935572637268637
E3_noise,45,306.7121555626932,309.88667843692906,1.5102631348426965,2.2935574622744817
E3_noise,46,306.6950305911956,309.97598545645377,1.5102684230582002,2.2935544412750675
E3_noise,47,306.7443314081555,309.9572836600571,1.5102748227676943,2.2935573392893644
E3_noise,48,306.7265543907214,309.8962647651544,1.5102658355999383,2.2935561268793663
E3_noise,49,306.76356948428696,310.03160277911803,1.5102189239160313,2.2935506674007056
E3_noise,50,306.6928764231926,309.93117210046375,1.510249284715185,2.2935519328519662
E3_noise,51,306.7528409514071,309.9616572548171,1.5102790706339597,2.293557174044488
E3_noise,52,306.72386407382345,309.9183988946055,1.5102776350103704,2.293556397559117
E3_noise,53,306.7401292539793,309.9985761078209,1.5102563572927148,2.293554076634247
E3_noise,54,306.70968970169366,309.938320560445,1.5102806639530078,2.2935587156481225
E3_noise,55,306.7466157804423,309.94485404814634,1.5102706393885803,2.293555034754347
E3_noise,56,306.7483240054114,309.9489340139499,1.5102676188475619,2.2935563318073506
E3_noise,57,306.7496098383658,310.0004384674992,1.510239001329259,2.2935532130886127
E3_noise,58,306.77150697009415,309.94996619378924,1.510261567648062,2.2935586443188534
E3_noise,59,306.7430415718679,310.003615212114,1.5102652480854593,2.293558139165987
E3_noise,60,306.7087570695254,309.87795973823745,1.5102774503901262,2.2935577356993697
E3_noise,61,306.7526528072825,309.958350817791,1.510262645526366,2.2935570691163933
E3_noise,62,306.67405715749743,309.8313967386704,1.5102520372050223,2.293553947909237
E3_noise,63,306.6907471902489,309.96107262443246,1.5102747954273044,2.2935573037506525
E3_noise,64,306.72254010093076,309.96464050380837,1.5102589549437955,2.2935572596999623
E3_noise,65,306.68430715051954,309.92936041084323,1.510269675973356,2.2935579041194063
E3_noise,66,306.7368766256756,309.95628543379985,1.5102520258319692,2.293552818748632
E3_noise,67,306.71957522434724,309.91613051258935,1.5102606381630646,2.2935567176832476
E3_noise,68,306.6975240783791,309.9352196162935,1.5102742568389405,2.293556704296863
E3_noise,69,306.7548098086038,309.9240609890991,1.510242055022538,2.293554046891651
E3_noise,70,306.71870494981397,309.89206094649705,1.510251138618163,2.293555126660186
E3_noise,71,306.7433946702041,309.9292618383421,1.5102632619602478,2.2935531621240175
E3_noise,72,306.74539777203586,309.95528037170175,1.5102448017066818,2.2935530739997088
E3_noise,73,306.7241272372808,309.9050283951518,1.5102672361674871,2.2935577659102804
E3_noise,74,306.71474055898375,309.9180546802343,1.5102716878131233,2.2935560358387024
E3_noise,75,306.72792785544635,309.9352840124801,1.5102364635402883,2.2935527425440654
E3_noise,76,306.7288525116348,309.97185040988177,1.5102896853921246,2.2935598672918647
E3_noise,77,306.732643477302,309.9352654150207,1.510284189109308,2.2935598072757952
E3_noise,78,306.7364116582413,309.98336893095455,1.5102760577900614,2.2935562105186036
E3_noise,79,306.73488934185593,309.9300239479766,1.5102899985953822,2.293558925134352
E3_noise,80,306.74441896656396,309.90986201368514,1.5102431327726513,2.2935544213580648
E3_noise,81,306.7168959824973,309.9526361113602,1.5102582873116321,2.2935544723252392
E3_noise,82,306.7247544372435,309.9645897221724,1.5102688164718194,2.2935586160410475
E3_noise,83,306.6810144306052,309.93378535247064,1.5102523136878734,2.293555299416702
E3_noise,84,306.68466629891003,309.88320480130085,1.5102904916887763,2.2935583231536723
E3_noise,85,306.7799494187942,309.97254806402157,1.5102629490211126,2.29355825122764
E3_noise,86,306.7420702833228,309.9237311780048,1.5102672531105674,2.293556562273849
E3_noise,87,306.70959286006024,309.9591978295203,1.5102547659094476,2.2935522302655795
E3_noise,88,306.74949423973794,309.92710233248795,1.5102797697483568,2.293558190278259
E3_noise,89,306.73039710894716,309.9361293976623,1.5102950555971266,2.2935625758205402
E3_noise,90,306.70198126113206,309.91983936783953,1.510273655333381,2.293555062329526
E3_noise,91,306.6842587604843,309.8842047095897,1.510233390430726,2.293552845041406
E3_noise,92,306.7161651707103,309.9217645807649,1.5102438775276774,2.2935573704480636
E3_noise,93,306.74190959880247,310.0004567050497,1.5102529679370702,2.293557994890035
E3_noise,94,306.76205895898755,309.952664710717,1.5102522986527434,2.2935557040532086
E3_noise,95,306.6993357355004,309.9439550040731,1.5102642378717714,2.2935555121657027
E3_noise,96,306.7318839590892,309.97258388802953,1.5102843313522083,2.293558055930476
E3_noise,97,306.74608741267235,309.9320678936845,1.5102956732083763,2.2935574620024806
E3_noise,98,306.70807934368617,309.9266970534698,1.510261397443182,2.2935549574808154
E3_noise,99,306.75442518024806,310.00178472440166,1.5102912934941473,2.2935595146297243
E3_noise,100,306.73489823873786,309.9092967015577,1.5102880472160543,2.2935590093124554
E4_param,1,306.94861270711715,310.32238240671694,1.565218383374553,2.3067482232599237
E4_param,2,306.93932788025745,310.3027288738893,1.5003545569108012,2.281157208645022
E4_param,3,307.65879396064804,310.5886964247101,1.5125531040390963,2.293218735643702
E4_param,4,306.8112994159248,310.2903651684861,1.5628154563812027,2.2992714942577206
E4_param,5,307.1848000710395,310.2127523565635,1.517500223184584,2.294232780714263
E4_param,6,306.8449058091557,310.0420239944411,1.5334958928481035,2.3063960816503317
E4_param,7,305.80367672345324,309.64074509703823,1.4243409206219315,2.2844205935536057
E4_param,8,306.7818853276601,310.23268931788294,1.5580111131189363,2.313424751035018
E4_param,9,307.0340429615591,310.3844738262882,1.4588882298395969,2.291294468389476
E4_param,10,307.15760026029693,310.2430295230986,1.4829918852684039,2.294240984331112
E4_param,11,306.9088556394612,310.0601761736097,1.4617767744498427,2.2759148176108788
E4_param,12,306.96591685679476,310.29038063891466,1.5003983803390977,2.2869818245421634
E4_param,13,306.2019325322071,309.58434799240024,1.5444689527808373,2.3095156138657735
E4_param,14,307.5863530452513,310.3761510180499,1.5231423848265486,2.305398751016799
E4_param,15,306.30659647805174,309.7096564584355,1.493325733170935,2.3006945544258786
E4_param,16,306.56122131469783,309.75050381715084,1.5472465807277487,2.30859189757362
E4_param,17,306.98118200143284,309.99018553734163,1.5856113315875677,2.306721660303431
E4_param,18,306.8607346928206,310.0558769078947,1.4953862208202364,2.297727485110153
E4_param,19,307.0266717405933,310.30745859465486,1.5843084949342843,2.3057956275282785
E4_param,20,306.5464984827327,309.8720848855853,1.496239736036202,2.286462417322276
E4_param,21,306.3334904773186,309.7901451365649,1.5083750419966082,2.2820198261114673
E4_param,22,307.04501031242455,310.2423085426135,1.5829611674551212,2.305815379467901
E4_param,23,306.1387020319826,309.7279470932519,1.54762698896814,2.3065398327635007
E4_param,24,306.66144033432823,310.2173750168764,1.5144889758092945,2.283833721848969
E4_param,25,307.0105193259756,310.0910870008076,1.466571964758062,2.2827037548804134
E4_param,26,307.02447438233276,310.1308874884598,1.5555574623539221,2.2972899065549304
E4_param,27,307.6057482620966,310.2622899852296,1.5128405359167159,2.283209477819397
E4_param,28,306.44036943369235,309.8321658324123,1.5745414089899599,2.302882349525764
E4_param,29,307.24088172149374,310.1779268415988,1.527382172076592,2.2881340534039682
E4_param,30,306.603903014039,310.0351967117967,1.4522433552967118,2.2785973125329573
E4_param,31,306.46486235575003,309.7149528431459,1.4584885581279392,2.2801143211446613
E4_param,32,306.9924315944088,310.1452667191272,1.4446428644331935,2.2773722997751578
E4_param,33,307.428361553057,310.2674897801349,1.5060902733896375,2.2889527040690396
E4_param,34,306.123345730516,309.4863003429087,1.484980501010545,2.289161957374839
E4_param,35,306.2239506074277,309.5569915165728,1.529902361023836,2.3024620144420394
E4_param,36,306.43286878643283,309.5472834484231,1.516800569139482,2.298106042107993
E4_param,37,306.46270952956144,309.71765887576066,1.444966568514822,2.2774940941296613
E4_param,38,307.07221802254105,310.2224113756877,1.4968523845704884,2.296110073823987
E4_param,39,306.3024909542612,309.939500257013,1.476666957203905,2.287584982705299
E4_param,40,306.9838790672231,310.3227737067925,1.565220503585411,2.3135244541369984
E4_param,41,306.0727488822529,309.5788251749032,1.5652792358498722,2.3060130210550174
E4_param,42,306.56713818910237,309.6523857538163,1.5730026125377559,2.307539266184797
E4_param,43,307.3693512493219,310.15645859583054,1.5456502258076692,2.3090982969190232
E4_param,44,306.1943271496055,309.2514646990963,1.5340607644593465,2.300762090254909
E4_param,45,306.5535546289488,309.7419871017195,1.5751769477308257,2.3089859951356275
E4_param,46,306.3756660694607,309.9267646510044,1.5435588160598315,2.307743841208454
E4_param,47,306.5416040018707,309.69173601940213,1.5109315984603535,2.282520733007491
E4_param,48,306.5612677621911,310.07120963831534,1.5148543808479478,2.2888810487827986
E4_param,49,306.6599294230087,310.04252960693816,1.5713607040867128,2.301749571133271
E4_param,50,306.5588190266044,310.0072539472201,1.507222044592328,2.2978087408247134
E4_param,51,305.763111065216,309.38063532399474,1.4564988970320472,2.290358990497952
E4_param,52,306.05790705411937,309.3166545773578,1.4740921401742029,2.2842569078402803
E4_param,53,305.84832992494546,309.71011802330844,1.5288812447111089,2.293730213420245
E4_param,54,306.23074895685954,309.7694011450904,1.4866157211966036,2.2837537598078184
E4_param,55,307.5749154018802,310.59101890204425,1.5571870750717227,2.297416932006397
E4_param,56,307.6413774311024,310.4168757266318,1.4721884303097972,2.294708876101911
E4_param,57,306.90098130005737,309.82724348181637,1.4159995214295882,2.283766436914614
E4_param,58,307.0583903212939,310.018452287917,1.4568945439672298,2.279199921333866
E4_param,59,306.8623915302329,309.9436013735423,1.5452197646320953,2.294549327681726
E4_param,60,306.50506572658674,310.05059114318004,1.5023468490282401,2.2831809567326165
E4_param,61,307.40370313587476,310.29643219535666,1.580777405207967,2.310102158831997
E4_param,62,307.7267687876983,310.500527463484,1.5833877460742372,2.3049509637363665
E4_param,63,306.2241072861096,309.57533534405655,1.4328678489217834,2.2812971303954677
E4_param,64,306.56903697577775,309.9419778944616,1.5711350814446248,2.307139224494784
E4_param,65,306.2034133575236,309.83766723467437,1.5183427595232366,2.302883215510838
E4_param,66,306.68172913262805,309.86326551831337,1.4799307726013682,2.2884420333271374
E4_param,67,306.89505894446717,310.3475945384247,1.5406680881901704,2.289795453624055
E4_param,68,306.72729277052855,309.80038809856825,1.5123759925791025,2.291744035171473
E4_param,69,306.8162793611555,309.8713624800673,1.51729696046593,2.306877840870689
E4_param,70,306.3814251374058,309.7090769017584,1.5765047065034754,2.308029291723764
E4_param,71,306.92499536572035,310.1945292807378,1.4532980130374533,2.2789183078443687
E4_param,72,306.25850998624827,309.87047950642034,1.531113492673028,2.302820262340213
E4_param,73,306.6757423202048,310.1925666280462,1.5757061123660117,2.3058143270960505
E4_param,74,305.8442300486244,309.478197201897,1.5398055669237851,2.3070480761317786
E4_param,75,307.2988278126565,310.27712077717393,1.4664849236757644,2.2826164634067365
E4_param,76,306.1141795409324,309.54915319446206,1.4347254667152065,2.280833382881505
E4_param,77,306.33197561523014,309.843502211459,1.5452886468171934,2.299909732847713
E4_param,78,306.92839647772144,310.05759422314804,1.4753625947764126,2.296793724532977
E4_param,79,307.1558800353819,310.1414591120653,1.4837468421782718,2.296874029442446
E4_param,80,306.8670081918189,310.06216264634133,1.5005030344841026,2.293258439714578
E4_param,81,307.0112733512225,310.1180831736888,1.5060285993397156,2.2872034519646056
E4_param,82,306.90452395728266,310.24591781859357,1.4371842601332705,2.287080020321248
E4_param,83,305.6013933098527,309.27558102967635,1.495132685530719,2.2822562584132546
E4_param,84,306.40763321836175,310.02497454747277,1.5368306100541667,2.303832774583536
E4_param,85,306.36388693986584,309.88115597307944,1.432114026945237,2.287028297182832
E4_param,86,306.97686754867925,310.23971549106165,1.468749198679296,2.288781117456934
E4_param,87,307.44149555171185,310.54467289228273,1.4558013168553428,2.2890320203987433
E4_param,88,306.829413331282,309.96892401560683,1.558281504043967,2.310806921477679
E4_param,89,306.0533238468068,309.3118129141576,1.5399461720767038,2.2952215167015373
E4_param,90,306.4759491317769,309.7735754310003,1.4897673724704121,2.299077104091223
E4_param,91,306.3917827910271,309.6270892084979,1.5693478623667445,2.311451980100525
E4_param,92,306.9275430980513,309.95850939736357,1.5081408919862405,2.292973341891226
E4_param,93,305.9111685331308,309.46087806737177,1.537413503691253,2.2977481750547497
E4_param,94,306.33091012957095,309.7778756371248,1.485998134719716,2.2862379038231615
E4_param,95,306.24953374313225,309.8053140751779,1.4910973950330022,2.2912165416942143
E4_param,96,307.3738247845847,310.2053024783228,1.4683880494192685,2.274890841590686
E4_param,97,306.8965114868288,309.94392436540625,1.5154436900475425,2.2856503975583236
E4_param,98,306.72357549447173,310.06994411106706,1.485608444543068,2.2914608484898125
E4_param,99,307.42214656830004,310.35405187570655,1.4574858569697668,2.28564217186219
E4_param,100,306.97195394571594,310.333602926143,1.4827761346227062,2.294936712146657
