时间(s),温度(℃)
54.0,112.95002212827927
54.5,113.56145241818555
55.0,114.16665711047025
55.5,114.76569959431507
56.0,115.35864261347155
56.5,115.94554827283291
57.0,116.52647804493887
57.5,117.10149277641429
58.0,117.67065269434228
58.5,118.23401741257236
59.0,118.79164593796442
59.5,119.34359667656913
60.0,119.88992743974538
60.5,120.43069545021542
61.0,120.96595734805841
61.5,121.49576919664288
62.0,122.02018648849884
62.5,122.53926415113
63.0,123.05305655276699
63.5,123.56161750806181
64.0,124.06500028372442
64.5,124.56325760410184
65.0,125.05644165670058
65.5,125.54460409765277
66.0,126.02779605712648
66.5,126.50606814468131
67.0,126.97947045456905
67.5,127.4480525709807
68.0,127.91186357323984
68.5,128.3709520409432
69.0,128.82536605904892
69.5,129.27515322291296
70.0,129.72036064327426
70.5,130.16103495118912
71.0,130.59722230291527
71.5,131.02896838474638
72.0,131.4563184177972
72.5,131.87931716274002
73.0,132.29800892449288
73.5,132.71243755686012
74.0,133.12264646712566
74.5,133.52867862059932
75.0,133.93057654511722
75.5,134.32838233549606
76.0,134.72213765794203
76.5,135.11188375441512
77.0,135.49766144694863
77.5,135.87951114192504
78.0,136.25747283430803
78.5,136.63158611183164
79.0,137.00189015914665
79.5,137.36842376192482
80.0,137.7312253109213
80.5,138.09033280599564
81.0,138.44578386009192
81.5,138.7976157031784
82.0,139.14586518614684
82.5,139.49056878467238
83.0,139.83176260303398
83.5,140.169482377896
84.0,140.50376348205123
84.5,140.83464092812585
85.0,141.16214937224663
85.5,141.4863231176709
86.0,141.80719611837935
86.5,142.12480198263248
87.0,142.43917397649065
87.5,142.75034502729847
88.0,143.0583477271335
88.5,143.36321433622004
89.0,143.66497678630796
89.5,143.96366668401734
90.0,144.25931531414895
90.5,144.5519536429609
91.0,144.8416123214122
91.5,145.12832168837303
92.0,145.4121117738025
92.5,145.693012301894
93.0,145.97105269418836
93.5,146.2462620726557
94.0,146.51866926274553
94.5,146.788302796406
95.0,147.05519091507216
95.5,147.31936157262425
96.0,147.58084243831536
96.5,147.83966089966958
97.0,148.09584406535063
97.5,148.3494187680012
98.0,148.60041156705327
98.5,148.8488487515102
99.0,149.09475634269998
99.5,149.3381600970009
100.0,149.57908550853915
100.5,149.81755781185916
101.0,150.0536019845666
101.5,150.28724274994462
102.0,150.51850457954328
102.5,150.74741169574276
103.0,150.97398807429036
103.5,151.1982574468118
104.0,151.4202433032968
104.5,151.63996889455944
105.0,151.8574572346735
105.5,152.0727311033829
106.0,152.28581304848768
106.5,152.49672538820565
107.0,152.70549021350996
107.5,152.912129390443
108.0,153.11666456240658
108.5,153.3191171524289
109.0,153.51950836540834
109.5,153.71785919033454
110.0,153.91419040248672
110.5,154.1085225656098
111.0,154.30087603406807
111.5,154.49127095497724
112.0,154.6797272703146
112.5,154.8662647190078
113.0,155.05090283900222
113.5,155.23366096930744
114.0,155.41455825202277
114.5,155.59361363434223
115.0,155.77084587053906
115.5,155.94627352393005
116.0,156.11991496881984
116.5,156.29178839242553
117.0,156.46191179678146
117.5,156.63030300062488
118.0,156.79697964126223
118.5,156.96195917641649
119.0,157.1252588860557
119.5,157.2868958742028
120.0,157.44688707072726
120.5,157.60524923311814
121.0,157.7619989482394
121.5,157.91715263406712
122.0,158.0707265414092
122.5,158.22273675560737
123.0,158.37319919822212
123.5,158.52212962870018
124.0,158.66954364602523
124.5,158.8154566903517
125.0,158.95988404462207
125.5,159.1028408361675
126.0,159.2443420382923
126.5,159.38440247184226
127.0,159.52303680675698
127.5,159.66025956360633
128.0,159.79608511511148
128.5,159.93052768765017
129.0,160.06360136274682
129.5,160.19532007854744
130.0,160.32569763127952
130.5,160.45474767669705
131.0,160.58248373151076
131.5,160.70891917480395
132.0,160.8340672494338
132.5,160.95794106341836
133.0,161.08055359130958
133.5,161.20191767555215
134.0,161.32204602782875
134.5,161.44095123039136
135.0,161.55864573737918
135.5,161.67514187612312
136.0,161.79045184843687
136.5,161.904587731895
137.0,162.01756148109786
137.5,162.12938492892386
138.0,162.2400697877687
138.5,162.34962765077225
139.0,162.45806999303272
139.5,162.5654081728086
140.0,162.6716534327083
140.5,162.7768169008678
141.0,162.88090959211607
141.5,162.9839424091289
142.0,163.08592614357067
142.5,163.18687147722488
143.0,163.2867889831128
143.5,163.385689126601
144.0,163.4835822664974
144.5,163.58047865613628
145.0,163.67638844445227
145.5,163.77132167704332
146.0,163.86528829722278
146.5,163.95829814706102
147.0,164.05036096841621
147.5,164.1414864039547
148.0,164.23168399816097
148.5,164.32096319833732
149.0,164.4093333555934
149.5,164.49680372582563
150.0,164.58338347068675
150.5,164.66908165854525
151.0,164.75390726543526
151.5,164.83786917599681
152.0,164.9214026100291
152.5,165.0253241012867
153.0,165.16127903806498
153.5,165.3289412550666
154.0,165.52798790801714
154.5,165.7580994398501
155.0,166.01895954723656
155.5,166.31025514745562
156.0,166.6280577208123
156.5,166.94748757645127
157.0,167.26366498977202
157.5,167.5766230772189
158.0,167.8863946180438
158.5,168.19301205773954
159.0,168.49650751143815
159.5,168.79691276727465
160.0,169.09425928971646
160.5,169.3885782228591
161.0,169.6799003936882
161.5,169.96825631530822
162.0,170.25367619013855
162.5,170.53618991307675
163.0,170.81582707462994
163.5,171.0926169640139
164.0,171.36658857222096
164.5,171.63777059505648
165.0,171.90619143614444
165.5,172.1718792099025
166.0,172.4348617444866
166.5,172.69516658470576
167.0,172.95282099490714
167.5,173.20785196183164
168.0,173.46028619744052
168.5,173.71015014171323
169.0,173.95746996541672
169.5,174.2022715728466
170.0,174.4445806045403
170.5,174.68442243996276
171.0,174.9218222001645
171.5,175.15680475041302
172.0,175.38939470279695
172.5,175.6196164188042
173.0,175.84749401187338
173.5,176.07305134991947
174.0,176.29631205783377
174.5,176.51729951995844
175.0,176.7360368825357
175.5,176.95254705613215
176.0,177.16685271803846
176.5,177.37897631464463
177.0,177.58894006379097
177.5,177.7967659570952
178.0,178.00247576225595
178.5,178.20609102533254
179.0,178.4076330730018
179.5,178.61338814648653
180.0,178.85480555144693
180.5,179.13612205674048
181.0,179.45693140878726
181.5,179.8168314904909
182.0,180.21542427912075
182.5,180.65231580462304
183.0,181.1271161083563
183.5,181.62420069675323
184.0,182.11676422534634
184.5,182.60431246048293
185.0,183.08689646799914
185.5,183.5645667937776
186.0,184.0373734690416
186.5,184.50536601559529
187.0,184.96859345101063
187.5,185.42710429376154
188.0,185.8809465683057
188.5,186.3301678101146
189.0,186.77481507065247
189.5,187.2149349223044
190.0,187.65057346325437
190.5,188.08177632231357
191.0,188.50858866369956
191.5,188.9310551917667
192.0,189.34922015568867
192.5,189.76312735409297
193.0,190.17282013964842
193.5,190.578341423606
194.0,190.97973368029326
194.5,191.37703895156324
195.0,191.7702988511977
195.5,192.15955456926602
196.0,192.54484687643927
196.5,192.92621612826056
197.0,193.30370226937197
197.5,193.67734483769826
198.0,194.0471829685881
198.5,194.41325539891312
199.0,194.77560047112522
199.5,195.13425613727256
200.0,195.48925996297461
200.5,195.8406491313569
201.0,196.18846044694544
201.5,196.5327303395217
202.0,196.87349486793818
202.5,197.21078972389546
203.0,197.54465023568022
203.5,197.8751113718658
204.0,198.2022077449747
204.5,198.52597361510377
205.0,198.84644289351291
205.5,199.1636491461767
206.0,199.47762559730018
206.5,199.78840513279872
207.0,200.1113990138954
207.5,200.4666151411831
208.0,200.8539533522125
208.5,201.27308657916996
209.0,201.72369108445395
209.5,202.20544642676683
210.0,202.71803542755185
210.5,203.26045332826286
211.0,203.80763065897102
211.5,204.34923661720242
212.0,204.8853279308029
212.5,205.4159607500141
213.0,205.9411906533545
213.5,206.46107265344082
214.0,206.97566120275005
214.5,207.48501019932274
215.0,207.98917299240836
215.5,208.488202388053
216.0,208.9821506546304
216.5,209.4710695283165
217.0,209.9550102185082
217.5,210.4340234131872
218.0,210.9081592842289
218.5,211.37746749265756
219.0,211.84199719384767
219.5,212.30179704267255
220.0,212.75691519860044
220.5,213.20739933073878
221.0,213.65329662282699
221.5,214.09465377817855
222.0,214.53151702457274
222.5,214.96393211909643
223.0,215.39194435293683
223.5,215.81559855612517
224.0,216.23493910223226
224.5,216.65000991301613
225.0,217.0608544630225
225.5,217.46751578413824
226.0,217.87003647009846
226.5,218.26845868094787
227.0,218.6628241474567
227.5,219.05317417549136
228.0,219.4395496503411
228.5,219.82199104100008
229.0,220.20053840440627
229.5,220.57523138963694
230.0,220.94610924206145
230.5,221.31321080745198
231.0,221.67657453605213
231.5,222.03623848660416
232.0,222.39224033033537
232.5,222.74461735490368
233.0,223.09340646830327
233.5,223.4386442027302
234.0,223.78036671840886
234.5,224.1186098073794
235.0,224.4534088972466
235.5,224.7847990548904
236.0,225.11281499013913
236.5,225.4374910594047
237.0,225.75886126928128
237.5,226.07695928010705
238.0,226.39181840948987
238.5,226.70347163579694
239.0,227.01195160160896
239.5,227.317290617139
240.0,227.6195206636169
240.5,227.9186733966388
241.0,228.21478014948286
241.5,228.50787193639104
242.0,228.7979794558175
242.5,229.08513309364415
243.0,229.36936292636295
243.5,229.6506987242265
244.0,229.92916995436588
244.5,230.20480578387716
245.0,230.4776350828764
245.5,230.74768642752332
246.0,231.01498810301467
246.5,231.2795681065466
247.0,231.54145415024712
247.5,231.80067366407872
248.0,232.0572537987114
248.5,232.31122142836637
249.0,232.56260315363085
249.5,232.81142530424427
250.0,233.0577139418561
250.5,233.3014948627554
251.0,233.54279360057282
251.5,233.781635428955
252.0,234.0180453642118
252.5,234.25204816793624
253.0,234.48366834959833
253.5,234.7129301691121
254.0,234.93985763937647
254.5,235.16447452879055
255.0,235.38680436374298
255.5,235.60687043107623
256.0,235.82469578052553
256.5,236.04030322713317
257.0,236.25371535363817
257.5,236.46495451284153
258.0,236.67404282994755
258.5,236.88100220488116
259.0,237.08585431458172
259.5,237.2886206152735
260.0,237.48932234471295
260.5,237.68798052441326
261.0,237.884615961846
261.5,238.0072059710773
262.0,237.94145121570673
262.5,237.75913614577635
263.0,237.46071221992284
263.5,237.04662914820406
264.0,236.51733489887155
264.5,235.87327570511687
265.0,235.1148960717918
265.5,234.30108405621385
266.0,233.4904240779692
266.5,232.68290392866186
267.0,231.87851144718107
267.5,231.07723451951827
268.0,230.27906107858453
268.5,229.48397910402892
269.0,228.6919766220574
269.5,227.9030417052526
270.0,227.1171624723941
270.5,226.33432708827954
271.0,225.5545237635464
271.5,224.77774075449443
272.0,224.00396636290884
272.5,223.23318893588402
273.0,222.46539686564813
273.5,221.70057858938836
274.0,220.9387225890766
274.5,220.17981739129613
275.0,219.42385156706882
275.5,218.67081373168298
276.0,217.9206925445219
276.5,217.17347670889305
277.0,216.42915497185803
277.5,215.68771612406303
278.0,214.94914899957007
278.5,214.2134424756888
279.0,213.48058547280894
279.5,212.75056695423362
280.0,212.02337592601296
280.5,211.29900143677858
281.0,210.57743257757872
281.5,209.85865848171386
282.0,209.14266832457318
282.5,208.42945132347145
283.0,207.71899673748672
283.5,207.01129386729846
284.0,206.30633205502656
284.5,205.60410068407072
285.0,204.90458917895054
285.5,204.20778700514649
286.0,203.5136836689409
286.5,202.82226871726024
287.0,202.13353173751753
287.5,201.4474623574556
288.0,200.76405024499087
288.5,200.08328510805768
289.0,199.4051566944534
289.5,198.72965479168397
290.0,198.0567692268101
290.5,197.38648986629417
291.0,196.71880661584743
291.5,196.05370942027812
292.0,195.3911882633401
292.5,194.73123316758176
293.0,194.07383419419605
293.5,193.41898144287063
294.0,192.76666505163877
294.5,192.11687519673094
295.0,191.46960209242678
295.5,190.8248359909077
296.0,190.1825671821102
296.5,189.5427859935795
297.0,188.90548279032404
297.5,188.27064797467017
298.0,187.6382719861178
298.5,187.00834530119624
299.0,186.38085843332104
299.5,185.75580193265083
300.0,185.1331663859452
300.5,184.51294241642285
301.0,183.8951206836204
301.5,183.27969188325181
302.0,182.66664674706809
302.5,182.0559760427178
303.0,181.44767057360812
303.5,180.84172117876616
304.0,180.23811873270117
304.5,179.63685414526697
305.0,179.03791836152516
305.5,178.44130236160868
306.0,177.846997160586
306.5,177.25499380832585
307.0,176.6652833893624
307.5,176.07785702276092
308.0,175.4927058619842
308.5,174.90982109475917
309.0,174.32919394294422
309.5,173.75081566239712
310.0,173.17467754284314
310.5,172.60077090774408
311.0,172.02908711416742
311.5,171.45961755265628
312.0,170.8923536470997
312.5,170.32728685460353
313.0,169.76440866536174
313.5,169.20371060252828
314.0,168.64518422208943
314.5,168.08882111273664
315.0,167.5346128957398
315.5,166.9825512248211
316.0,166.43262778602934
316.5,165.88483429761476
317.0,165.33916250990424
317.5,164.79560420517709
318.0,164.25415119754132
318.5,163.7147953328103
319.0,163.1775284883801
319.5,162.64234257310693
320.0,162.10922952718553
320.5,161.57818132202766
321.0,161.0491899601412
321.5,160.52224747500975
322.0,159.9973459309726
322.5,159.47447742310527
323.0,158.95363407710045
323.5,158.43480804914938
324.0,157.91799152582385
324.5,157.4031767239583
325.0,156.89035589053282
325.5,156.37952130255627
326.0,155.87066526695008
326.5,155.3637801204323
327.0,154.85885822940216
327.5,154.35589198982524
328.0,153.8548738271189
328.5,153.35579619603814
329.0,152.85865158056205
329.5,152.36343249378058
330.0,151.87013147778183
330.5,151.37874110353968
331.0,150.88925397080192
331.5,150.40166270797886
332.0,149.91595997203225
332.5,149.43213844836475
333.0,148.95019085070973
333.5,148.47010992102153
334.0,147.9918884293662
334.5,147.51551917381263
335.0,147.040994980324
335.5,146.5683087026498
336.0,146.09745322221826
336.5,145.62842144802906
337.0,145.16120631654658
337.5,144.69580079159354
338.0,144.23219786424497
338.5,143.77039055272272
339.0,143.3103719022903
339.5,142.85213498514818
340.0,142.39567290032932
340.5,141.94097877359542
341.0,141.4880457573333
341.5,141.0368670304518
342.0,140.58743579827902
342.5,140.13974529246005
343.0,139.69378877085498
343.5,139.24955951743743
344.0,138.80705084219335
344.5,138.3662560810203
345.0,137.92716859562708
345.5,137.48978177343378
346.0,137.05408902747214
346.5,136.62008379628645
347.0,136.1877595438346
347.5,135.75710975938978
348.0,135.32812795744235
348.5,134.9008076776022
349.0,134.47514248450142
349.5,134.05112596769743
350.0,133.62875174157642
350.5,133.20801344525725
351.0,132.7889047424955
351.5,132.37141932158818
352.0,131.95555089527866
352.5,131.54129320066193
353.0,131.12863999909032
353.5,130.71758507607956
354.0,130.30812224121516
354.5,129.90024532805919
355.0,129.49394819405742
355.5,129.08922472044685
356.0,128.68606881216346
356.5,128.28447439775056
357.0,127.88443542926724
357.5,127.48594588219733
358.0,127.08899975535869
358.5,126.6935910708128
359.0,126.29971387377475
359.5,125.90736223252358
360.0,125.51653023831292
360.5,125.12721200528202
361.0,124.73940167036709
361.5,124.35309339321302
362.0,123.96828135608544
362.5,123.5849597637831
363.0,123.20312284355056
363.5,122.82276484499128
364.0,122.44388003998104
364.5,122.06646272258163
365.0,121.69050720895497
365.5,121.31600783727745
366.0,120.94295896765475
366.5,120.5713549820368
367.0,120.20119028413326
367.5,119.83245929932923
368.0,119.46515647460123
368.5,119.09927627843363
369.0,118.73481320073536
369.5,118.37176175275687
370.0,118.01011646700753
370.5,117.64987189717327
371.0,117.29102261803452
371.5,116.93356322538456
372.0,116.57748833594812
372.5,116.22279258730029
373.0,115.8694706377858
373.5,115.51751716643854
374.0,115.16692687290141
374.5,114.81769447734659
375.0,114.46981472039592
375.5,114.12328236304171
376.0,113.77809218656795
376.5,113.43423899247156
377.0,113.09171760238424
377.5,112.75052285799437
378.0,112.41064962096941
378.5,112.07209277287849
379.0,111.73484721511531
379.5,111.39890786882137
380.0,111.06426967480948
380.5,110.7309275934876
381.0,110.39887660478291
381.5,110.0681117080662
382.0,109.73862792207657
382.5,109.41042028484647
383.0,109.08348385362684
383.5,108.75781370481286
384.0,108.43340493386962
384.5,108.11025265525839
385.0,107.78835200236294
385.5,107.46769812741636
386.0,107.14828620142794
386.5,106.83011141411055
387.0,106.51316897380812
387.5,106.19745410742352
388.0,105.88296206034666
388.5,105.56968809638289
389.0,105.2576274976817
389.5,104.9467755646656
390.0,104.63712761595944
390.5,104.32867898831984
391.0,104.02142503656498
391.5,103.71536113350464
392.0,103.41048266987056
392.5,103.10678505424694
393.0,102.80426371300139
393.5,102.50291409021595
394.0,102.20273164761858
394.5,101.90371186451475
395.0,101.60585023771938
395.5,101.309142281489
396.0,101.01358352745424
396.5,100.7191695245525
397.0,100.42589583896093
397.5,100.13375805402966
398.0,99.84275177021529
398.5,99.5528726050146
399.0,99.26411619289861
399.5,98.9764781852468
400.0,98.6899542502816
400.5,98.40454007300319
401.0,98.12023135512452
401.5,97.83702381500653
402.0,97.55491318759374
402.5,97.27389522434994
403.0,96.99396569319427
403.5,96.71512037843749
404.0,96.43735508071843
404.5,96.1606656169408
405.0,95.88504782021018
405.5,95.61049753977126
406.0,95.33701064094535
406.5,95.06458300506809
407.0,94.79321052942743
407.5,94.52288912720184
408.0,94.2536147273988
408.5,93.98538327479342
409.0,93.71819072986746
409.5,93.45203306874839
410.0,93.1869062831489
410.5,92.92280638030644
411.0,92.65972938292315
411.5,92.39767132910596
412.0,92.1366282723069
412.5,91.87659628126364
413.0,91.61757143994039
413.5,91.35954984746881
414.0,91.10252761808931
414.5,90.84650088109255
415.0,90.59146578076113
415.5,90.3374184763115
416.0,90.08435514183616
416.5,89.83227196624603
417.0,89.58116515321302
417.5,89.33103092111293
418.0,89.08186550296841
418.5,88.83366514639232
419.0,88.58642611353116
419.5,88.3401446810088
420.0,88.09481713987036
420.5,87.85043979552646
421.0,87.60700896769748
421.5,87.36452099035817
422.0,87.12297221168247
422.5,86.88235899398843
423.0,86.64267771368354
423.5,86.40392476121008
424.0,86.1660965409908
424.5,85.9291894713747
425.0,85.69319998458322
425.5,85.45812452665638
426.0,85.22395955739933
426.5,84.99070155032902
427.0,84.7583469926211
427.5,84.526892385057
428.0,84.29633424197122
428.5,84.06666909119888
429.0,83.8378934740234
429.5,83.61000394512443
